CULTURAL_SPACE_NAME,WEBSITE,TYPE,PRIMARY_USE,ADDRESS,LOCAL_AREA,OWNERSHIP,SQUARE_FEET,NUMBER_OF_SEATS,ACTIVE_SPACE,LONGITUDE,LATITIUDE
15th Field Artillery Regiment Museum and Archives,www.memorybc.ca/museum-of-15th-field-artillery-regiment,Museum/Gallery,Museum/Gallery,"2025 W 11th Av, Vancouver, BC, V6J 2C7",Kitsilano,Privately Owned,,,Yes,-123.151123,49.261938
221A Artist Run Centre,www.221a.ca/?,Museum/Gallery,Museum/Gallery,"221 E Georgia St, Vancouver, BC, V6A 1Z6",Strathcona,Privately Owned,9000,,Yes,-123.098796,49.278786
222 E Georgia Studios,http://projectspace.ca/blog/,Studio/Rehearsal ,Artist Studio,"222 E Georgia St, Vancouver, BC, V6A 1Z7",Strathcona,Privately Owned,5980,,Yes,-123.098829,49.278453
2nd Beach field House,http://vancouver.ca/parks-recreation-culture/second-beach.aspx,Studio/Rehearsal ,Artist Studio," Stanley Park Drive, Vancouver, BC, V6G 3E2",,Park Board/COV,,,Yes,-123.150402,49.295416
Aberthau Mansion /West Point Grey Community Centre,,Community Space,Community Centre/Hall,"4397 W 2nd Av, Vancouver, BC, V6R 1K4",West Point Grey,City of Vancouver,2930.25,,Yes,-123.205213,49.271511
Acme Studios,https://www.facebook.com/ACMEstudiobuilding,Studio/Rehearsal ,Artist Studio,"112 E Hastings St, Vancouver, BC, V6A 4J1",Downtown,Privately Owned,30000,,Yes,-123.101791,49.281101
AHVA Gallery,http://gallery.ahva.ubc.ca/about/,Museum/Gallery,Museum/Gallery,"6398 University Blvd, Vancouver, BC, ",,Other,1990,,Yes,-123.2549451,49.2639124
Al Mozaico Flamenco Dance Academy,http://www.mozaicoflamenco.com/,Educational,Educational Institution,"828 E Hastings St, Vancouver, BC, V6A 1R6",Strathcona,Privately Owned,,,Yes,-123.0864434,49.2810234
Alliance For Arts And Culture,http://www.allianceforarts.com,Museum/Gallery,Library/Archives,"938 Howe St, Vancouver, BC, V6Z 1N9",Downtown,Privately Owned,4095,30,Yes,-123.1228359,49.2803099
Alliance Fran‡aise De Vancouver,http://www.alliancefrancaise.ca/,Community Space,Community Centre/Hall,"6161 Cambie St, Vancouver, BC, V5Z 3B2",Oakridge,Privately Owned,,,Yes,-123.1169818,49.228879
"Anderson Street Space, The",www.bocadellupo.com/?,Studio/Rehearsal ,Rehearsal Studio,"1405 Anderson St, Vancouver, BC, V6H 3R5",Fairview,Privately Owned,400,30,Yes,-123.134975,49.271656
Anza Club (Australia-New Zealand Association),http://www.anzaclub.org,Theatre/Performance,Performance Space,"3 W 8th Av, Vancouver, BC, V5Y 1M8",Mount Pleasant,Non-Profit,2885,135,Yes,-123.105108,49.263974
"Arc, The",http://arcgallery.ca/?page_id=11,Studio/Rehearsal ,Artist Studio,"1701 Powell St, Vancouver, BC, V5L 5C9",Grandview-Woodland,Privately Owned,,,Yes,-123.069973,49.284217
Architectural Institute of BC Gallery,www.aibc.ca,Museum/Gallery,Museum/Gallery,"440 Cambie St, Vancouver, BC, V6B 2N5",Downtown,,250,,Yes,-123.1095005,49.2817199
Art Beatus,www.artbeatus.com,Museum/Gallery,Museum/Gallery,"808 Nelson St, Vancouver, BC, V6Z 2H2",Downtown,Privately Owned,3700,,Yes,-123.1249139,49.2800409
Art Club/Bard On Beach Production Centre Theatre,,Studio/Rehearsal ,Workshop,"162 W 1st Av, Vancouver, BC, V5Y 1A4",Mount Pleasant,City of Vancouver,,,Yes,-123.108535,49.2702275
Art Club/Bard On Beach Production Centre Theatre,,Theatre/Performance,Theatre,"162 W 1st Av, Vancouver, BC, V5Y 1A4",Mount Pleasant,City of Vancouver,44500,250,Yes,-123.108576,49.270223
Art Emporium,http://www.theartemporium.ca,Museum/Gallery,Museum/Gallery,"2928 Granville St, Vancouver, BC, V6H 3J7",Fairview,Privately Owned,,,Yes,-123.1383072,49.2593906
Art Works Gallery,http://artworksbc.com/,Museum/Gallery,Museum/Gallery,"225 Smithe St, Vancouver, BC, V6B 4X7",Downtown,Privately Owned,,,Yes,-123.1165781,49.2775077
Arts Club Theatre - Backstage Lounge,www.thebackstagelounge.com,Caf‚/Restaurant/Bar,Bar/Lounge/Cabaret,"1585 Johnston St, Vancouver, BC, V6H 3R9",Fairview,Government,,60,Yes,-123.134363,49.272102
Arts Club Theatre - Granville Island Stage,www.artsclub.com,Theatre/Performance,Theatre,"1585 Johnston St, Vancouver, BC, V6H 3R9",Fairview,Government,17790,430,Yes,-123.134362,49.272124
Arts Club Theatre - Production Centre,,Studio/Rehearsal ,Workshop,"1377 Cartwright St, Vancouver, BC, V6H 3R7",Fairview,Government,11282,,Yes,-123.1347122,49.2700047
Arts Club Theatre Revue Stage,http://www.artsclub.com,Theatre/Performance,Theatre,"1601 Johnston St, Vancouver, BC, V6H 3R9",Fairview,Government,6428,198,Yes,-123.13467,49.272235
Arts Club Theatre -Stanley Industrial Alliance Stage,http://www.artsclub.com,Theatre/Performance,Theatre,"2750 Granville St, Vancouver, BC, V6H 3J3",Fairview,Non-Profit,16500,650,Yes,-123.1382118,49.261346
Arts Factory, http://www.artsfactorysociety.ca/,Studio/Rehearsal ,Artist Studio,"281 Industrial, Vancouver, BC, V5A 2P2",Strathcona,City of Vancouver,21000,,Yes,-123.098517,49.270111
Arts Umbrella,www.artsumbrella.com,Educational,Educational Institution,"1286 Cartwright St, Vancouver, BC, V6H 3R8",Fairview,Government,18000,,Yes,-123.133395,49.269611
Arts Umbrella - E 7th,http://www.artsumbrella.com/contact,Educational,Educational Institution,"77 E 7th Av, Vancouver, BC, V5T 1M4",Mount Pleasant,Other,,,Yes,-123.1033467,49.2648965
Artspeak Gallery,www.artspeak.ca/?,Museum/Gallery,Museum/Gallery,"233 Carrall St, Vancouver, BC, V6B 2J2",Downtown,Non-Profit,990,,Yes,-123.104299,49.282941
Artstarts In Schools,www.artstarts.com,Museum/Gallery,Museum/Gallery,"808 Richards St, Vancouver, BC, V6B 3A7",Downtown,Privately Owned,6000,,Yes,-123.1179808,49.2799985
Astorino's Hall,http://www.safeamp.org/events/astorinos.html,Theatre/Performance,Performance Space,"1739 Venables St, Vancouver, BC, V5L 2H3",Grandview-Woodland,Privately Owned,3000,,Yes,-123.0698555,49.2769146
Audain Gallery,https://www.sfu.ca/galleries/audain-gallery.html,Museum/Gallery,Museum/Gallery,"149 W Hastings St, Vancouver, BC, V6B 1H4",Downtown,Other,,,Yes,-123.108715,49.282395
