YEAR,MONTH,DAY,Crime,Neighbourhood,Bins
2004,1,1,5.0,Sunset,2
2004,1,2,5.0,Sunset,2
2004,1,3,3.0,Sunset,1
2004,1,4,5.0,Sunset,2
2004,1,5,3.0,Sunset,1
2004,1,6,5.0,Sunset,2
2004,1,7,2.0,Sunset,1
2004,1,8,4.0,Sunset,2
2004,1,9,8.0,Sunset,3
2004,1,10,12.0,Sunset,3
2004,1,11,3.0,Sunset,1
2004,1,12,11.0,Sunset,3
2004,1,13,4.0,Sunset,2
2004,1,14,1.0,Sunset,0
2004,1,15,2.0,Sunset,1
2004,1,16,4.0,Sunset,2
2004,1,17,6.0,Sunset,3
2004,1,18,5.0,Sunset,2
2004,1,19,3.0,Sunset,1
2004,1,20,3.0,Sunset,1
2004,1,21,2.0,Sunset,1
2004,1,22,3.0,Sunset,1
2004,1,23,0.0,Sunset,0
2004,1,24,4.0,Sunset,2
2004,1,25,2.0,Sunset,1
2004,1,26,4.0,Sunset,2
2004,1,27,9.0,Sunset,3
2004,1,28,4.0,Sunset,2
2004,1,29,3.0,Sunset,1
2004,1,30,3.0,Sunset,1
2004,1,31,2.0,Sunset,1
2004,2,1,6.0,Sunset,3
2004,2,2,11.0,Sunset,3
2004,2,3,6.0,Sunset,3
2004,2,4,4.0,Sunset,2
2004,2,5,6.0,Sunset,3
2004,2,6,10.0,Sunset,3
2004,2,7,2.0,Sunset,1
2004,2,8,4.0,Sunset,2
2004,2,9,8.0,Sunset,3
2004,2,10,8.0,Sunset,3
2004,2,11,10.0,Sunset,3
2004,2,12,5.0,Sunset,2
2004,2,13,5.0,Sunset,2
2004,2,14,4.0,Sunset,2
2004,2,15,6.0,Sunset,3
2004,2,16,4.0,Sunset,2
2004,2,17,5.0,Sunset,2
2004,2,18,6.0,Sunset,3
2004,2,19,8.0,Sunset,3
2004,2,20,8.0,Sunset,3
2004,2,21,6.0,Sunset,3
2004,2,22,10.0,Sunset,3
2004,2,23,7.0,Sunset,3
2004,2,24,6.0,Sunset,3
2004,2,25,6.0,Sunset,3
2004,2,26,9.0,Sunset,3
2004,2,27,1.0,Sunset,0
2004,2,28,9.0,Sunset,3
2004,2,29,5.0,Sunset,2
2004,3,1,4.0,Sunset,2
2004,3,2,4.0,Sunset,2
2004,3,3,10.0,Sunset,3
2004,3,4,8.0,Sunset,3
2004,3,5,6.0,Sunset,3
2004,3,6,2.0,Sunset,1
2004,3,7,2.0,Sunset,1
2004,3,8,11.0,Sunset,3
2004,3,9,7.0,Sunset,3
2004,3,10,10.0,Sunset,3
2004,3,11,5.0,Sunset,2
2004,3,12,1.0,Sunset,0
2004,3,13,4.0,Sunset,2
2004,3,14,5.0,Sunset,2
2004,3,15,6.0,Sunset,3
2004,3,16,6.0,Sunset,3
2004,3,17,8.0,Sunset,3
2004,3,18,3.0,Sunset,1
2004,3,19,4.0,Sunset,2
2004,3,20,7.0,Sunset,3
2004,3,21,1.0,Sunset,0
2004,3,22,10.0,Sunset,3
2004,3,23,2.0,Sunset,1
2004,3,24,2.0,Sunset,1
2004,3,25,3.0,Sunset,1
2004,3,26,8.0,Sunset,3
2004,3,27,6.0,Sunset,3
2004,3,28,6.0,Sunset,3
2004,3,29,6.0,Sunset,3
2004,3,30,5.0,Sunset,2
2004,3,31,13.0,Sunset,3
2004,4,1,10.0,Sunset,3
2004,4,2,7.0,Sunset,3
2004,4,3,4.0,Sunset,2
2004,4,4,1.0,Sunset,0
2004,4,5,1.0,Sunset,0
2004,4,6,2.0,Sunset,1
2004,4,7,2.0,Sunset,1
2004,4,8,2.0,Sunset,1
2004,4,9,2.0,Sunset,1
2004,4,10,1.0,Sunset,0
2004,4,11,4.0,Sunset,2
2004,4,12,1.0,Sunset,0
2004,4,13,6.0,Sunset,3
2004,4,14,0.0,Sunset,0
2004,4,15,4.0,Sunset,2
2004,4,16,2.0,Sunset,1
2004,4,17,1.0,Sunset,0
2004,4,18,6.0,Sunset,3
2004,4,19,5.0,Sunset,2
2004,4,20,2.0,Sunset,1
2004,4,21,4.0,Sunset,2
2004,4,22,3.0,Sunset,1
2004,4,23,5.0,Sunset,2
2004,4,24,5.0,Sunset,2
2004,4,25,2.0,Sunset,1
2004,4,26,3.0,Sunset,1
2004,4,27,3.0,Sunset,1
2004,4,28,3.0,Sunset,1
2004,4,29,4.0,Sunset,2
2004,4,30,1.0,Sunset,0
2004,5,1,2.0,Sunset,1
2004,5,2,7.0,Sunset,3
2004,5,3,2.0,Sunset,1
2004,5,4,5.0,Sunset,2
2004,5,5,5.0,Sunset,2
2004,5,6,6.0,Sunset,3
2004,5,7,8.0,Sunset,3
2004,5,8,5.0,Sunset,2
2004,5,9,5.0,Sunset,2
2004,5,10,6.0,Sunset,3
2004,5,11,4.0,Sunset,2
2004,5,12,5.0,Sunset,2
2004,5,13,6.0,Sunset,3
2004,5,14,8.0,Sunset,3
2004,5,15,7.0,Sunset,3
2004,5,16,5.0,Sunset,2
2004,5,17,3.0,Sunset,1
2004,5,18,13.0,Sunset,3
2004,5,19,6.0,Sunset,3
2004,5,20,4.0,Sunset,2
2004,5,21,5.0,Sunset,2
2004,5,22,5.0,Sunset,2
2004,5,23,2.0,Sunset,1
2004,5,24,5.0,Sunset,2
2004,5,25,0.0,Sunset,0
2004,5,26,4.0,Sunset,2
2004,5,27,4.0,Sunset,2
2004,5,28,6.0,Sunset,3
2004,5,29,2.0,Sunset,1
2004,5,30,2.0,Sunset,1
2004,5,31,3.0,Sunset,1
2004,6,1,4.0,Sunset,2
2004,6,2,1.0,Sunset,0
2004,6,3,2.0,Sunset,1
2004,6,4,8.0,Sunset,3
2004,6,5,7.0,Sunset,3
2004,6,6,1.0,Sunset,0
2004,6,7,8.0,Sunset,3
2004,6,8,11.0,Sunset,3
2004,6,9,7.0,Sunset,3
2004,6,10,8.0,Sunset,3
2004,6,11,5.0,Sunset,2
2004,6,12,9.0,Sunset,3
2004,6,13,1.0,Sunset,0
2004,6,14,3.0,Sunset,1
2004,6,15,5.0,Sunset,2
2004,6,16,3.0,Sunset,1
2004,6,17,2.0,Sunset,1
2004,6,18,3.0,Sunset,1
2004,6,19,5.0,Sunset,2
2004,6,20,2.0,Sunset,1
2004,6,21,2.0,Sunset,1
2004,6,22,4.0,Sunset,2
2004,6,23,3.0,Sunset,1
2004,6,24,2.0,Sunset,1
2004,6,25,5.0,Sunset,2
2004,6,26,1.0,Sunset,0
2004,6,27,7.0,Sunset,3
2004,6,28,8.0,Sunset,3
2004,6,29,2.0,Sunset,1
2004,6,30,8.0,Sunset,3
2004,7,1,4.0,Sunset,2
2004,7,2,7.0,Sunset,3
2004,7,3,1.0,Sunset,0
2004,7,4,3.0,Sunset,1
2004,7,5,3.0,Sunset,1
2004,7,6,4.0,Sunset,2
