SCHOOL_NAME,LATITUDE,LONGITUDE,ADDRESS,SCHOOL_CATEGORY
Admiral Seymour Elementary,49.27859427,-123.0803143,1130 Keefer St,Public School
Admiral Seymour StrongStart Centre,49.27859427,-123.0803143,1130 Keefer St,StrongStart BC
Alexander Academy,49.2850006001823,-123.114009854193,688 W Hastings St,Independent School
Anchor Point Montessori,49.277061848292,-123.130918922266,1351 Hornby St,Independent School
BC Children's Adol. Psych. Unit,49.239630962,-123.12579096,5025 Willow St,Public School
BC Childrens Hosp School Program,49.239630962,-123.12579096,5025 Willow St,Public School
BCCH Eating Disorders School Program,49.239630962,-123.12579096,5025 Willow St,Public School
Bayview Community Elementary,49.266487007,-123.18233379,2251 Collingwood St,Public School
Blessed Sacrament School,49.2583379084058,-123.119390910334,3020 Heather St,Independent School
Britannia Community Elementary,49.2745120095296,-123.071378795422,1110 Cotton Drive,Public School
Britannia Community Secondary,49.2752359917843,-123.07192309841,1001 Cotton Drive,Public School
Canuck Place School Program,49.2516695267534,-123.143062399514,1690 Matthews Av,Public School
Captain James Cook Elementary,49.2193808,-123.03582905,3340 E 54th Av,Public School
Captain James Cook StrongStart Centre,49.2193808,-123.03582905,3340 E 54th Av,StrongStart BC
Carnarvon Community Elementary,49.2565874222733,-123.173557238565,3400 Balaclava St,Public School
Century High School,49.2633847590135,-123.145314402697,1788 W Broadway,Independent School
Champlain Heights Annex,49.2140784326839,-123.030549689398,7835 Champlain Crescent,Public School
Champlain Heights Annex StrongStart Cntr,49.2140784326839,-123.030549689398,7835 Champlain Crescent,StrongStart BC
Champlain Heights Community Elementary,49.220640302,-123.02774835,6955 Frontenac St,Public School
Charles Dickens Annex,49.250213062,-123.08271031,3877 Glen Drive,Public School
Charles Dickens Elementary,49.2548545009348,-123.082390632702,1010 E 17th Av,Public School
Chief Maquinna Annex,49.266421544,-123.04511809,2882 E 4th Av,Public School
Chief Maquinna Elementary,49.267886314,-123.05058984,2684 E 2nd Av,Public School
Chief Maquinna StrongStart Centre,49.267886314,-123.05058984,2684 E 2nd Av,StrongStart BC
Children's Hearing and Speech Centre BC,49.2523579694012,-123.048349437246,3575 Kaslo St,Independent School
Collingwood Neighbourhood School,49.2363486,-123.032313,3417 Euclid Av,Public School
Collingwood StrongStart Centre,49.2363486,-123.032313,3417 Euclid Av,StrongStart BC
