KEY,LAT,LON,VENDOR_TYPE,STATUS,BUSINESS_NAME,LOCATION,DESCRIPTION
DT48,49.277427325293999,-123.114069374134004,vendor_food,open,,East Side of 800 Beatty St - 6 Metres South of Robson St,Hot Dogs
EB04,49.284492517330001,-123.142926123067994,vendor_food,open,,South Side of 1700 Beach Ave - East Side of Bidwell St,Hot Dogs
DT21,49.274750229558201,-123.122779848109005,vendor_food,open,,South Side of 300 Davie St - 6 Metres East of Hamilton St,Hot Dogs
EB05,49.288728488158100,-123.143229444439001,vendor_food,open,,South Side of 1900 Beach Ave - 17 Metres West of Gilford St,Hot Dogs
GM03,49.282319592486999,-123.118235028068000,vendor_food,open,,East side of 700 Granville St - 6 Metres South W Georgia St,Hot Dogs
GM05,49.280517857830603,-123.120951896798005,vendor_food,open,,East Side of 800 Granville St - 30 Metres North of Smithe St,Hot Dogs
GM18,49.282470148547802,-123.118426844134007,vendor_food,open,,West Side of 700 Granville St - 5 Metres South of W Georgia St,Hot Dogs
GT04,49.283989174405200,-123.106609298224001,vendor_food,open,,North Side of 100 Water St - 10 Metres West of Abbott St,Hot Dogs
GT05,49.284446790659203,-123.109160409685998,vendor_food,open,,North Side of 300 Water St - 17 Metres West of Cambie St,Hot Dogs
DT02,49.279889700465901,-123.110258929797993,vendor_food,open,,North Side of Dunsmuir St - 6 Metres East of Beatty St,Hot Dogs
OD05,49.262216047658299,-123.069072741187000,vendor_food,open,,South Side of 1700 East Broadway - 37 Metres East of Commercial Dr,Hot Dogs
DT37,49.283488792081002,-123.122731856952996,vendor_food,open,,West Side of 700 Burrard St - 15 Metres North of Robson St,Hot Dogs
DT10,49.278793053754299,-123.108008079327007,vendor_food,open,,Expo Boulevard - 20 Metres West of Abbott St,Hot Dogs
DT38,49.283468033509799,-123.119863220162998,vendor_food,open,,South Side of 800 W Georgia St - 55 Metres West of Howe St,Hot Dogs
DT13,49.283222497624401,-123.122520505305999,vendor_food,open,,North Side of 900 Robson St - 6 Metres East of Burrard St,Hot Dogs
OD12,49.209891679266200,-123.117031734899996,vendor_food,open,,East Side of 8400 Cambie St - 75 Metres South of SW Marine Dr,Hot Dogs
DT61,49.286949000000000,-123.116782000000001,vendor_food,open,Actual Oden,South Side of 900 W Hastings - 10 metres East of Burrard St,Japanese Cuisine
DT79,49.283922020680301,-123.123569702796004,vendor_food,open,Ali's Hot Dogs,North Side of 1000 Robson St,Hot Dogs
DT57,49.286528220057399,-123.113567537335996,vendor_food,open,Arturo's Mexico To Go,North Side of 700 W Cordova St - 14 metres East of Howe St,Mexican Cuisine
C18,49.286951978224899,-123.118192426381995,vendor_food,open,Aussie Pie Guy,Authorised Parking Meter - 1000 W Pender St,Australian Pies
GM13,49.282362614727901,-123.118591524118003,vendor_food,open,BBKB Kaboom Box,West Side of 700 Granville St - South of W Georgia St,Seafood and Western
C15,49.285193682320802,-123.122093113147997,vendor_food,open,Bandidas,Authorised Parking Meter - North Side of 1000 W Georgia St,Vegan Cuisine 
C14,49.281987224075202,-123.116846018079997,vendor_food,open,Brasilian Roots,Authorised Parking Meter - East Side of 600 Seymour St,Brasilian Cuisine 
DT40,49.281547013791297,-123.119934651565003,vendor_food,open,Cazba Express,North Side of 700 Robson St - 12 Metres West of Granville St,Kebabs
DT42,49.282753364657303,-123.122135785725007,vendor_food,open,Cheesey Does It,South Side of 900 Robson St - 16 Metres West of Hornby St,Sandwiches
C12,49.287612530414002,-123.115773447167996,vendor_food,open,Chickpea,Authorised Parking Meter - North Side of W Cordova St,Vegetarian
GT02,49.283989749007603,-123.106627254803996,vendor_food,open,Chou Chou Crepes,North Side of 100 Water St - 10 Metres West of Abbott St,French Crepes
C21,49.287838000000001,-123.119287999999997,vendor_food,open,Come Arepa,Authorised Parking Meter - 1000 W Hastings St,Venezuelan Cuisine
DT74,49.282108999999998,-123.121122000000000,vendor_food,open,Commissary Connect,South Side of 800 Robson St- 13 Metres West of Howe St,Variety Menu
DT70,49.284905103152703,-123.118581094106005,vendor_food,open,Commissary Connect,West Side of 600 Hornby St - 6 Metres South of Dunsmuir St,Variety Menu
DT59,49.283508765027499,-123.120309650842998,vendor_food,open,Commissary Connect,East Side of 700 Hornby St - 22 metres South of W Georgia St,Variety Menu
GM20,49.282819013251597,-123.117466131689994,vendor_food,open,Crab Park Chowdery,East Side of 600 Granville St - 30 Metres North of W Georgia St,Chowders and Soups
